#;Game;Release date;Price;Score rank(Userscore / Metascore);Owners;Playtime (Median)
4;Call of Duty: Modern Warfare 2;Nov 11, 2009;$19.99;72% (89%/86%);5,214,654 ±67,888;24:25 (09:37)
8;Call of Duty: Black Ops;Nov 9, 2010;$39.99;60% (85%/81%);3,599,558 ±56,517;24:26 (09:26)
36;Call of Duty: Modern Warfare 3;Nov 8, 2011;$39.99;50% (81%);3,451,624 ±55,354;24:48 (09:26)
74;Call of Duty®: Modern Warfare® 3;Nov 8, 2011;$39.99;50% (81%);3,451,624 ±55,354;107:12 (25:15)
19;Call of Duty: Black Ops II;Nov 12, 2012;$59.99;55% (83%/74%);3,103,091 ±52,508;09:36 (03:37)
6;Call of Duty: World at War;Nov 18, 2008;$19.99;86% (93%/83%);1,620,246 ±38,011;38:58 (13:15)
45;Call of Duty: Black Ops III;Nov 5, 2015;$59.99;20% (63%);1,462,247 ±36,118;70:37 (23:11)
23;Call of Duty: Ghosts;Mar 25, 2014;$59.99;9% (50%/68%);1,452,182 ±35,994;09:07 (05:12)
1;Call of Duty 4: Modern Warfare;Nov 12, 2007;$19.99;79% (91%/92%);1,091,477 ±31,219;24:52 (07:12)
12;Call of Duty: Advanced Warfare - Gold Edition;Nov 3, 2014;$59.99;15% (58%/78%);1,057,771 ±30,734;09:21 (06:00)
9;Vampire: The Masquerade - Bloodlines;Mar 22, 2007;$19.99;89% (94%/80%);555,921 ±22,295;14:11 (03:50)
16;Prototype 2;Jul 24, 2012;$39.99;19% (62%/76%);527,832 ±21,725;14:56 (09:18)
11;Prototype;Jun 10, 2009;$19.99;50% (81%/79%);502,786 ±21,204;10:41 (04:31)
35;Call of Duty: Infinite Warfare;Nov 3, 2016;$59.99;3% (37%);405,647 ±19,048;24:00 (10:02)
5;Call of Duty 2;Oct 13, 2006;$19.99;75% (90%/86%);340,575 ±17,455;19:53 (05:25)
26;Deadpool;Jun 25, 2013;$39.99;75% (90%/63%);318,806 ±16,888;07:49 (05:51)
17;Transformers: War for Cybertron;Jun 22, 2010;$19.99;72% (89%/75%);238,051 ±14,595;10:50 (03:49)
38;The Legend of Korra;Oct 21, 2014;$14.99;52% (82%);235,242 ±14,508;05:34 (03:00)
2;Call of Duty;Oct 13, 2006;$19.99;83% (92%/91%);228,922 ±14,312;13:21 (03:12)
55;Call of Duty: Modern Warfare Remastered;;$29.99;2% (30%);203,877 ±13,507;04:09 (01:48)
59;Transformers: Fall of Cybertron;Aug 20, 2012;$49.99;75% (90%);199,663 ±13,367;29:57 (08:30)
3;Call of Duty: United Offensive;Oct 13, 2006;$19.99;58% (84%/87%);196,152 ±13,249;15:47 (01:43)
15;Singularity;Jun 30, 2010;$29.99;83% (92%/76%);165,489 ±12,170;07:22 (04:41)
13;Geometry Wars: Retro Evolved;Jun 18, 2007;$3.99;75% (90%/76%);158,935 ±11,926;02:59 (00:23)
68;The Amazing Spider-Man;Sep 25, 2012;$39.99;32% (72%);144,656 ±11,378;11:04 (04:44)
62;Space Quest Collection;Jul 23, 2009;$19.99;41% (77%);132,953 ±10,908;07:01 (00:39)
22;TimeShift;Jul 23, 2009;$19.99;50% (81%/71%);131,548 ±10,851;03:43 (01:02)
40;Tony Hawks Pro Skater HD;Sep 18, 2012;$9.99;19% (62%);128,974 ±10,744;08:24 (02:01)
66;Geometry Wars 3: Dimensions Evolved;Nov 25, 2014;$14.99;79% (91%);120,079 ±10,367;04:40 (01:13)
43;Phantasmagoria;Aug 29, 2016;$9.99;N/A (N/A);103,694 ±9,634;07:21 (02:20)
50;Police Quest Collection;Aug 29, 2016;$9.99;N/A (N/A);103,694 ±9,634;02:25 (00:18)
27;The Amazing Spider-Man 2;Apr 29, 2014;$39.99;23% (66%/57%);102,992 ±9,601;13:19 (07:42)
51;Phantasmagoria 2: A Puzzle of Flesh;Aug 29, 2016;$5.99;N/A (N/A);101,821 ±9,546;14:32 (03:06)
7;Arcanum: Of Steamworks and Magick Obscura;Aug 29, 2016;$5.99;75% (90%/81%);97,140 ±9,324;05:56 (00:52)
49;King's Quest Collection;Jul 23, 2009;$19.99;34% (73%);96,438 ±9,291;09:13 (01:16)
70;Caesar 3;Aug 29, 2016;$5.99;66% (87%);83,798 ±8,661;12:48 (03:42)
28;The Walking Dead: Survival Instinct;Mar 19, 2013;$49.99;N/A (N/A/38%);79,584 ±8,440;09:07 (02:58)
14;GUN;Oct 13, 2006;$19.99;75% (90%/76%);79,350 ±8,428;03:36 (01:19)
20;Caesar IV;Aug 29, 2016;$9.99;16% (59%/74%);73,967 ±8,137;09:57 (01:18)
32;Quest for Glory 1-5;Aug 29, 2016;$9.99;N/A (N/A);73,030 ±8,085;05:49 (00:44)
29;The Beast Within: A Gabriel Knight Mystery;Aug 29, 2016;$5.99;N/A (N/A);71,392 ±7,994;09:55 (08:11)
34;TRANSFORMERS: Devastation;Oct 6, 2015;$49.99;83% (92%);71,392 ±7,994;06:35 (02:48)
42;Gabriel Knight: Sins of the Father;Aug 29, 2016;$5.99;N/A (N/A);69,988 ±7,915;02:28 (00:56)
10;Gabriel Knight 3: Blood of the Sacred, Blood of the Damned;Aug 29, 2016;$5.99;N/A (N/A/80%);68,817 ±7,848;02:58 (00:28)
71;Teenage Mutant Ninja Turtles: Out of the Shadows;Aug 28, 2013;$14.99;11% (53%);47,283 ±6,506;07:03 (02:20)
61;Cabela's Big Game Hunter Pro Hunts;Mar 25, 2014;$29.99;35% (74%);38,388 ±5,862;19:49 (08:33)
37;Pharaoh + Cleopatra;Dec 15, 2016;$9.99;58% (84%);35,579 ±5,643;11:22 (03:07)
64;TRANSFORMERS: Rise of the Dark Spark;Jun 24, 2014;$49.99;10% (51%);33,004 ±5,435;13:38 (07:23)
24;Spider-Man™: Shattered Dimensions;Oct 23, 2015;$29.99;21% (64%/68%);32,302 ±5,377;05:38 (01:45)
58;Street Legal Racing: Redline v2.3.1;Aug 5, 2016;$5.99;48% (80%);32,068 ±5,358;13:40 (07:58)
65;Zeus + Poseidon;Dec 15, 2016;$9.99;92% (95%);28,089 ±5,014;14:21 (03:16)
25;White Night;Mar 3, 2015;$14.99;41% (77%/68%);20,364 ±4,269;03:26 (01:35)
47;Police Quest: SWAT;Dec 15, 2016;$5.99;N/A (N/A);18,726 ±4,094;00:35 (00:41)
72;Return to Krondor;Dec 15, 2016;$5.99;N/A (N/A);18,024 ±4,017;05:18 (07:03)
33;Fast & Furious: Showdown;May 21, 2013;$29.99;3% (35%);16,385 ±3,830;04:14 (02:41)
41;Cabela's Big Game Hunter Trophy Bucks;May 16, 2008;$19.99;1% (25%);15,449 ±3,719;03:43 (01:35)
31;3D Ultra Minigolf Adventures;Jul 23, 2009;$9.99;N/A (N/A);14,747 ±3,633;04:37 (00:59)
73;Marvel: Ultimate Alliance 2;Jul 26, 2016;$19.99;12% (54%);12,640 ±3,364;05:24 (03:04)
69;Cabela's Dangerous Hunts 2013;Oct 22, 2012;$29.99;4% (40%);11,938 ±3,269;05:02 (01:45)
67;Marvel: Ultimate Alliance;Jul 26, 2016;$19.99;13% (56%);11,001 ±3,138;10:32 (03:01)
53;Cabelas African Adventures;Oct 16, 2013;$29.99;N/A (N/A);10,299 ±3,036;02:29 (00:48)
63;Teenage Mutant Ninja Turtles: Mutants in Manhattan;May 24, 2016;$39.99;21% (64%);9,597 ±2,931;07:30 (04:42)
30;Cabela's Hunting Expeditions;Oct 22, 2012;$29.99;N/A (N/A);8,661 ±2,784;03:26 (03:03)
54;Aces of the Galaxy;Jul 23, 2009;$9.99;N/A (N/A);7,490 ±2,589;00:31 (00:40)
18;Vampire: The Masquerade - Redemption;Apr 18, 2017;$5.99;N/A (N/A/74%);5,852 ±2,288;03:03 (03:24)
57;Duck Dynasty;Oct 14, 2014;$39.99;N/A (N/A);5,852 ±2,288;01:31 (01:39)
39;SWAT 3: Tactical Game of the Year Edition;Apr 18, 2017;$9.99;N/A (N/A);3,979 ±1,887;00:01 (00:00)
56;Zork Anthology;Apr 18, 2017;$5.99;N/A (N/A);3,979 ±1,887;00:33 (00:39)
21;Call to Power II;Apr 18, 2017;$5.99;N/A (N/A/72%);3,277 ±1,712;16:50 (05:36)
44;Zork Nemesis: The Forbidden Lands;Apr 18, 2017;$5.99;N/A (N/A);3,277 ±1,712;00:00 (00:00)
48;Spycraft: The Great Game;Apr 18, 2017;$5.99;N/A (N/A);3,277 ±1,712;00:00 (00:00)
52;Return to Zork;Apr 18, 2017;$5.99;N/A (N/A);3,277 ±1,712;00:00 (00:00)
60;Zork: Grand Inquisitor;Apr 18, 2017;$5.99;N/A (N/A);3,277 ±1,712;00:00 (00:00)
46;Ghostbusters;Jul 12, 2016;$19.99;N/A (N/A);1,873 ±1,294;03:48 (01:51)
