Release Date,Price ($),Owners,Players (Active),Score Rank (%)
2015,60,7139179,1575106,50
2016,60,1880186,374280,34
2015,60,4177929,428912,44
2016,60,1601886,344287,69
2016,60,1445061,248735,29
2017,60,217884,208029,75
2015,60,1507191,202030,20
2017,60,438553,165180,39
2016,60,244021,115048,10
2017,60,220241,154040,13
2017,60,334860,133473,46
2016,60,1852549,203744,79
2012,60,3052517,170751,55
2017,60,454835,102193,7
2013,60,2524411,159396,39
2016,50,801050,416915,4
2015,50,1131839,129831,24
2016,50,1159905,124260,19
2015,45,928095,90624,32
2013,40,3076512,445194,75
2016,40,974157,309794,66
2015,40,2956965,308294,97
2016,40,5875581,306366,50
2013,40,1201039,217884,79
2016,40,572026,192603,55
2012,40,1427707,107549,86
2015,40,1724432,110549,97
2016,35,349214,105193,83
2013,35,3592192,140757,24
2017,30,2448784,1941888,34
2015,30,4843793,518037,27
2010,30,10035085,585309,95
2015,30,3337887,287512,83
2015,30,1150478,140328,48
2015,30,1030289,202244,35
2016,30,637798,111406,95
2015,30,1020862,79269,26
2016,30,1224606,140543,66
2013,25,2279961,198174,48
2013,25,2212903,111620,72
2014,25,816690,84411,46
2016,20,876892,194746,99
2016,20,5571358,1450417,18
2015,20,5390109,1295306,86
2013,20,5339120,513538,50
2013,20,3712167,626015,97
2011,20,11492358,574382,89
2009,20,16089130,593021,95
2013,20,7942372,398061,52
2016,20,1827697,282156,34
2013,20,4153291,274229,86
2012,20,7306930,267374,95
2010,20,2609893,208672,97
2004,20,15266441,260732,92
2013,20,2188266,144827,42
2014,20,1463486,165823,79
2015,20,2753650,106478,20
2014,20,610375,62987,63
2009,20,3559842,98980,75
2012,20,2895906,129188,72
2012,15,29196442,9222895,79
2015,15,1962883,660293,55
2016,15,2478135,261161,97
2014,15,1840765,328004,97
2016,15,5947781,317721,95
2014,15,2951609,193460,79
2016,15,2775288,140971,75
2006,10,13261995,1088563,92
2011,10,8480547,602234,97
2000,10,13152303,325862,97
2014,10,3478644,190889,79
2010,10,4668757,133901,92
2015,7,792480,187676,72
2016,4,2273534,884604,95
2014,4,624515,139471,95
2013,0,102307738,9964814,72
2007,0,40046932,1771994,89
2016,0,10783432,1445275,63
2013,0,16252168,650438,79
2014,0,29435322,863394,79
2013,0,11338104,439196,55
2017,0,2551834,572026,58
2017,0,1790419,589165,20
2014,0,6322704,524678,66
2013,0,7075978,251734,86
2015,0,5660268,281085,58
2016,0,863394,203958,58
2016,0,14239795,337002,24
2017,0,3199058,364425,50
2016,0,3422941,243164,6
2015,0,4867788,158753,75
2016,0,1750784,166680,31
2017,0,978228,331861,86
2014,0,12172790,232024,32
2015,0,7890525,208243,42
2017,0,21467,169679,12
2015,0,6821887,183819,44
2015,0,2388153,108621,32
2014,0,6940577,135615,31
2016,0,1959241,69200,16
2012,0,7654002,133687,55
